Title,Course Code,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
Cosmic Controversies,CAS AS 100,,,,,,"The goal of this course is to understand our place in the physical universe by examining three recent concepts that have revolutionized cosmic awareness. The observations that led to the proposals of Dark Matter and Dark Energy, the reclassification of Pluto to non-planet status, and the discovery of many planets orbiting other stars within life-sustaining regions called Habitable Zones radically change the human perspectives on origins and life. In each case, the roles of evidence, validation and conclusions are used to enhance students' capabilities and skills needed for our modern age. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
The Solar System,CAS AS 101,,,,,,"The historical development of astronomy and the motion of the planets. The formation of the solar system. The sun and its effects on the earth. Description of the planets and the moons of our solar system including recent results from the space program. Use of the observatory. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
The Astronomical Universe,CAS AS 102,,,,,,"The birth and death of stars. Red giants, white dwarfs, black holes. Our galaxy, the Milky Way, and other galaxies. The Big Bang and other cosmological theories of our expanding universe. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Teamwork/Collaboration. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Alien Worlds,CAS AS 105,,,,,,"Examination of planets in other star systems and comparison with planets in our solar system. Study the historical context of planetary astrophysics and changes in our understanding of planetary formation and evolution. Explore the possibility of life on other worlds. Carries natural science divisional credit (without lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Scientific Inquiry I, Critical Thinking. Effective Fall 2024, this course fulfills a single unit in each of the following BU HUB areas: Quantitative Reasoning I, Scientific Inquiry I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Life Beyond Earth: A Consideration of Extraterrestrial Civilizations,CAS AS 107,,,,,,"About 10 of the planets in our Milky Way galaxy are like Earth in size and material composition. The same physical laws operate everywhere, so extraterrestrial life may be both common and technologically advanced. Where is Everybody? Carries natural science divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Cosmology,CAS AS 109,,,,,,"The evolution of cosmological thought from prehistory to the present: Greek astronomy, Copernicus, Galileo, Newton, and Einstein. Motion, gravity, and the nature of space-time. The expanding universe. The early universe and Big Bang. Carries natural science divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Principles of Astronomy 1,CAS AS 202,,,,,,"Undergraduate Corequisites: (CASMA123) - Astronomical observing and the night sky; optics and telescopes; birth of modern astronomy; atoms, spectra and spectroscopy; planetary motion and orbits; overview of solar system; uses observatory. Intended primarily for astronomy or physics majors. Lectures and laboratories. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Principles of Astronomy 2,CAS AS 203,,,,,,"Undergraduate Corequisites: (CASMA123) - Astronomical measurements; time and the celestial sphere; telescopes and observatories; the solar system, orbital motion; comparative planetology; the sun and solar-terrestrial effects; electromagnetic radiation; spectroscopy, stellar properties and stellar evolution; the Milky Way galaxy; galaxies; the universe. Lectures and laboratories. Intended primarily for astronomy or physics concentrators. Carries natural science divisional credit (with lab) in CAS. Effective Spring 2019, this course fulfills a single unit in the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Planetary Physics,CAS AS 311,CAS MA 124,,CAS PY 211 OR CAS PY 251,,,"Undergraduate Prerequisites: CAS MA 124; and CAS PY 211 or CAS PY 251. - Celestial mechanics, tides, resonances. Physical processes that affect atmospheres, surfaces, interiors of planets, and their satellites. Comets, asteroids, meteorites, and Kuiper belt objects. Formation and evolution of the solar system. Extra-solar planets. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Scientific Inquiry II, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
Stellar and Galactic Astrophysics,CAS AS 312,CAS MA 124,,CAS PY 212 OR CAS PY 252,,,"Undergraduate Prerequisites: CAS MA 124; and CAS PY 212 or CAS PY 252. - Basic physics of radiation; radiative transfer; spectral analysis; distances, motions, and physical properties of stars; stellar interiors and atmospheres; stellar evolution; clusters of stars; the interstellar medium; content, structure, and rotation of the Milky Way Galaxy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Teamwork/Collaboration. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Scientific Inquiry II, Creativity/Innovation. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
