Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
CAS BI 105,Introductory Biology for Health Sciences,,,,,,"Principles of biology; emphasis on cellular structure, genetics, microbiology, development, biochemistry, metabolism, and immunology. This course is appropriate for non-majors and students in the health and paramedical sciences (Sargent College). Students may not receive credit for CAS BI 105 if CAS BI 108 has already been passed. Three hours lecture, two hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 107,Biology 1,,,,,,"For students who plan to major in the natural sciences or environmental science, and for premedical students. Required for biology majors. No prerequisite. The evolution and diversity of life; principles of ecology; behavioral biology. Three hours lecture, three hours lab including several field studies. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 108,Biology 2,,,,,,"For students planning to major in the natural sciences and for premedical students. Required for biology majors. It is strongly recommended students complete CAS CH 101 (or equivalent) before this course. High school biology is assumed. Biochemistry, cell & molecular biology, Mendelian & molecular genetics, physiology, and neurobiology. Three hours lecture, three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Critical Thinking, Teamwork/Collaboration. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 109,Biology 2 (Discussion),RESTRICTEDTOBUACADEMYSTUDENTS,,,,,Undergraduate Prerequisites: restricted to BU Academy students. - Discussion section for BU Academy students enrolled in CAS BI 108. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS BI 114,Human Infectious Diseases,,,,,,"Not for Biology major or minor credit. A study of the world's major human diseases, their causes, effects on history, pathology, and cures. Principles of immunology. Emphasis on present maladies such as AIDS, herpes, cancer, mononucleosis, tuberculosis, influenza, and hepatitis. This course is appropriate for non- majors and students in the health and paramedical sciences (Sargent College). Three hours lecture, three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 116,Biology 2 with Integrated Science Experience 1 Lab,CAS CH 101FIRSTYEARWRITINGSEMINARE,,,,,"Undergraduate Prerequisites: (CASCH101) First Year Writing Seminar (e.g., WR 100 or WR 120); Undergraduate Corequisites: (CASCH116) - Integration of general chemistry with biology and neuroscience, with an emphasis on how each discipline interacts experimentally. Laboratory focuses on projects relating to enzymes and their function. 3 lecture hours (meets with CAS Bl 108 lecture), 3 hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Writing-Intensive Course, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 119,Sociobiology,,,,,,"Designed for non-science majors to fulfill natural science divisional requirements. The evolution of animal and human societies; the adaptive significance of social organization; altruism; cooperation; courtship and reproductive behavior; the genetics, development, and epigenetics of social behavior; human social evolution; evolutionary psychology; religion; impact of evolutionary theory on social thought. Three hours lecture plus discussion. Carries natural science divisional credit (without lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Scientific Inquiry I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 126,Human Genetics,,,,,,"Classical and molecular genetics, advances in genetic technologies, and social/ethical issues related to genetic testing. Designed for science and non- science majors but cannot fulfill Biology/BMB major/minor or pre-medical requirements. Students cannot receive credit for both CAS BI 126 and BI 206/216. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Scientific Inquiry I, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS BI 140,First Year Research in Biology 1,,,,,,First semester first year research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
CAS BI 141,First Year Research in Biology 2,,,,,,Second semester first year research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
