Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
CAS CH 101,General Chemistry 1,TWOYEARSOFHIGHSCHOOLALGEBRA,,,,,"Undergraduate Prerequisites: two years of high school algebra. - For science majors and minors who require a two-semester general chemistry course, but have little prior experience with chemistry. Topics include: atoms and molecules; quantum theory and atomic structure, chemical periodicity; bonding in diatomic and polyatomic molecules; stoichiometry and introduction to reactions in aqueous solutions; properties of gases; and thermochemistry and the first law of thermodynamics. Laboratory exercises include basic training in lab safety and handling of chemical and experiments complementing the lectures, such as investigations of the size of an atom, gas laws, thermochemistry, and quantum aspects. Students must register for the following three (3) course components: lecture, discussion, and laboratory. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 102,General Chemistry 2,CAS CH 101,,,,,"Undergraduate Prerequisites: CASCH 101. -  Second semester general chemistry for students who have completed CAS CH101. Topics include: properties of solids and liquids; colligative properties; chemical kinetics; equilibrium; acids, bases, and buffers; solubility and precipitation; electrochemistry; and spontaneity, free energy, and the second law of thermodynamics. Laboratory exercises include experiments complementing the lectures, such as investigations of the freezing point of solutions, kinetics, acid-base titrations, and electrochemistry. Students must have completed CASCH 101 prior to enrolling in CAS CH 102. Students must register for the following three (3) course components: lecture, discussion, and laboratory. Carries natural science laboratory credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 109,Advanced General Chemistry with Quantitative Analysis Lab 1,ONEYEAROFHIGHSCHOOLCHEMISTRY,"TWOYEARSOFHIGHSCHOOLALGEBRA,",ONLINEDEPARTMENTPLACEMENTEXAM,,,"Undergraduate Prerequisites: one year of high school chemistry and two years of high school algebra, and online department placement exam. - First of an advanced two-semester general chemistry sequence for students in the sciences with a strong interest and prior preparation in chemistry. Students in CH109 must possess a good working knowledge of algebra and trigonometry as well as high school chemistry. Topics include: atomic structure and quantum theory; molecular connectivity; properties of gases and kinetic theory; and thermodynamics. The complementary laboratory emphasizes quantitative analysis. Three hours lecture, discussion, lab lecture, and four hours lab. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 110,Advanced General Chemistry with Quantitative Analysis Lab 2,CAS CH 109,,,,,"Undergraduate Prerequisites: (CASCH109) - Second of the advanced two-semester sequence for students concentrating in the sciences. Building on the foundation from the first semester, the second semester will cover equilibrium; acids, bases, and buffers; solubility; kinetics; electrochemistry; and selected chemical systems as case studies. The complementary laboratory experiments continue to emphasize quantitative analysis. Three hours lecture, one hour discussion, one hour lab lecture, four hours lab. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 112,Intensive General Chemistry with Quantitative Analysis Lab 2,CAS CH 111,,,,,"Undergraduate Prerequisites: (CASCH111) - Second semester of intensive two-semester sequence for well-prepared students concentrating in chemistry or other sciences. Topics focus on physical and chemical equilibrium; acids, bases, buffers, and solubility; chemical kinetics and mechanism of reactions; electrochemistry; and case studies relating to advanced topics. The complementary laboratory experience emphasizes quantitative analysis and training in scientific communication. Three hours lecture, one hour discussion, one hour lab lecture, and four hours lab. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Writing, Research and Inquiry, Research and Information Literacy, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 116,General Chemistry 2 with Integrated Science Experience 1 Lab,CAS CH 101,,,,,"Undergraduate Prerequisites: (CASCH101) ; Undergraduate Corequisites: (CASBI116 OR CASNE116) - Integration of general chemistry with biology and neuroscience, with an emphasis on how each discipline interacts experimentally. Laboratory focuses on projects relating to enzymes and their function. Lecture portion meets with CAS CH 102 lecture (3 hours), 1 discussion hour (meets with CAS CH 102 discussion), 3 hours lab, and 1 hour lab lecture. Effective Spring 2020, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Teamwork/Collaboration, Critical Thinking. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 131,General Chemistry for the Engineering Sciences,,,,,,"Undergraduate Corequisites: (CASMA123) - A one-semester, terminal general chemistry course for engineering students who do not require a two-semester general chemistry sequence. Lecture topics include stoichiometry; atomic and molecular structure; theories of bonding; chemistry of the solid, liquid, and gaseous states; properties of solutions; chemical thermodynamics; equilibrium; acids and bases; electrochemistry. Laboratory includes training in basic laboratory techniques such as data collection and recording, statistical interpretation of data, solution preparation, titrations, conducting chemical reactions, use of spectrophotometers, pH and voltmeters. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 141,Freshman Research in Chemistry 1 (2 Credits),,,,,,"First semester of research including the use of the research literature. Attendance at group research meetings and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 142,Freshman Research in Chemistry 2 (2 Credits),,,,,,"Second semester of research including attendance with oral presentations at group research meetings, and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
CAS CH 161,Freshman Research in Chemistry 1 (4 Credits),,,,,,"First semester of research including the use of the research literature, attendance with oral presentations at group research seminars and the writing of a report at the end of semester as required by research group. Application must be made through the Department of Chemistry office. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
