Course Code,Title,Prerequisite 1,Prerequisite 2,Prerequisite 3,Prerequisite 4,Prerequisite 5,Description
ENG ME 302,Engineering Mechanics 2,ENG EK 301,CAS MA 226,,,,Undergraduate Prerequisites: (ENGEK 301 & CASMA 226). - Fundamentals of engineering dynamics. Linear and angular momentum principles. Kinematics and kinetics of particles. Kinematics and kinetics of rigid bodies in two dimensions. Energy methods. Introduction to mechanical vibrations. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 303,Fluid Mechanics,ENG EK 301,CAS MA 226,,,,"Undergraduate Prerequisites: (ENGEK301 & CASMA226) - Properties of fluids. Fluid statics. Dimensional analysis. Control volume approach to conservation of mass, momentum, and energy, leading to the Bernoulli equation. Differential analysis approach to conservation of mass and momentum, leading to potential flow and the Navier-Stokes equations. Applications to pipe flow, boundary layers analysis, and methods for estimating drag, and lift forces. Includes labs. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 304,Energy and Thermodynamics,CAS PY 211,,,,,"Undergraduate Prerequisites: (CASPY211) ; Undergraduate Corequisites: (CASMA225); Grad Prerequisites: (METPY212 OR CASPY252) & (METMA124) -Macroscopic treatment of the fundamental concepts of thermodynamic systems. Zeroth, first, and second laws; properties of simple compressible substances; entropy; thermodynamic cycles. Turbines, pumps, compressors, and nozzles. Application to engines, refrigeration systems, and energy conversion. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 305,Mechanics of Materials,ENG EK 103,301,CAS MA 226,,,Undergraduate Prerequisites:(ENGEK103 & 301 and CASMA226)  - Introduction to stress and strain. Axial and shear loading. Torsion of shafts and thin-walled tubes. Stress within and deflection of bending beams. Combined loadings. Stress and strain transformations. Generalized Hooke's law. Material failure theories. Column buckling. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 306,Introduction to Materials Science,CAS PY 212,CAS CH 131,,,,Undergraduate Prerequisites: (CASPY212 & CASCH131) - Structure and properties of solids; crystalline structure; defect structures; atom movement and diffusion; nucleation and growth; deformation; phase diagrams; strengthening mechanisms; heat treatment; ferrous/nonferrous alloys; ceramics; polymers; composites. Includes lab. Cannot be taken for credit in addition to ENG BE 425. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  
ENG ME 310,Instrumentation,ENG EK 307,ENG EK 381,CAS WR 120,UNDERGRADUATEC OR EQUISITE:ENG ME 303,,"Undergraduate Prerequisites: (ENGEK307 & ENGEK381 & CASWR120); Undergraduate Corequisite: (ENGME303)- Designing, assembling, and operating experiments involving mechanical measurements; analyzing experimental data. Safety considerations in the laboratory. Mechanical and electrical transducers for flow, pressure, temperature, velocity, strain, and force. Electric circuits for static and dynamic analog signal conditioning. Computer use for digital data acquisition and analysis; instrument control. Introduction to frequency domain analysis. Professional standards for documenting experiments and preparing reports, including formal uncertainty analysis involving elementary stat Effective Fall 2019, this course fulfills a single unit in the following BU Hub area: Writing-Intensive Course. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 345,Automation and Manufacturing Methods,ENG ME 357,ENG EK 210ENG EK 122/EK125,,,,"Undergraduate Prerequisites: (ENGME 357 & ENGEK 210) ENGEK 122/EK125 - An introduction to the major concepts and practices of modern manufacturing, including production system dynamics, process development, and computer-aided design and manufacturing techniques. Topics include numerically controlled machines, robotic control, real-time process control, computer vision, statistical process control, programmable logic control, production system design, discrete event system models, and computer simulation. Strong emphasis is given on hands-on laboratory experience, with a lecture component covering fundamental concepts and supporting the laboratory exercises and projects. Includes lab. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 357,Introduction to CAD and Machine Components,,,,,,"Focuses on design and engineering concepts to support the creation of 3D mechanical models and 2D engineering drawings using advanced CAD applications. Hands on course work enables students to develop proper modeling techniques to define complex geometry and create production engineering drawings to ANSI standards. Course will cover core CAD competencies including assembly design, mechanism design, motion analysis, bill of materials and detailed assembly drawings. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 358,Manufacturing Processes,ENG EK 210,ENG ME 357,,,,"Undergraduate Prerequisites: (ENGEK210 & ENGME357) - This courses introduces you to modern manufacturing and materials processing methods. The course includes a wide range of manufacturing processes including machining, injection molding, and 3D printing; and explains the fundamental principles and practices of manufacturing at scale. We will understand the underlying physical principles and how material properties impact and are impacted by various methods. Labs and projects will enable students to experiment with various processes and understand how the theory applies to the physical world. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
ENG ME 360,Electromechanical Design,ENG ME 357,,,,,"Undergraduate Prerequisites: (ENGME357) ; Undergraduate Corequisites: (ENGME358) - Focuses on the use of engineering principles, simulation and physical models in product design. Hands-on exercises allow students to propose solutions to practical problems and to develop their ideas through the construction and testing of physical prototypes. Topics include Arduino sensing and control, mechanical metrology, principles of efficient mechanical design, manufacturing techniques, CAE tutorials for product simulation and prototype testing. Note that this information may change at any time. Please visit the MyBU Student Portal for the most up-to-date course information. Note that this information may change at any time. Read the full terms of use.  "
